run_id,grid_x,grid_y,pattern_density_pct
RUN-000000,0,0,36.838
RUN-000000,0,1,40.66
RUN-000000,0,2,30.411
RUN-000000,0,3,52.225
RUN-000000,0,4,43.654
RUN-000000,1,0,39.832
RUN-000000,1,1,51.272
RUN-000000,1,2,48.785
RUN-000000,1,3,38.455
RUN-000000,1,4,44.127
RUN-000000,2,0,31.47
RUN-000000,2,1,44.675
RUN-000000,2,2,39.501
RUN-000000,2,3,35.717
RUN-000000,2,4,44.308
RUN-000000,3,0,48.794
RUN-000000,3,1,31.407
RUN-000000,3,2,38.151
RUN-000000,3,3,36.479
RUN-000000,3,4,61.416
RUN-000000,4,0,47.778
RUN-000000,4,1,43.688
RUN-000000,4,2,33.191
RUN-000000,4,3,45.323
RUN-000000,4,4,35.936
RUN-000001,0,0,21.55
RUN-000001,0,1,41.0
RUN-000001,0,2,27.979
RUN-000001,0,3,33.115
RUN-000001,0,4,25.188
RUN-000001,1,0,19.163
RUN-000001,1,1,28.678
RUN-000001,1,2,24.221
RUN-000001,1,3,25.98
RUN-000001,1,4,44.378
RUN-000001,2,0,33.446
RUN-000001,2,1,17.558
RUN-000001,2,2,32.529
RUN-000001,2,3,32.441
RUN-000001,2,4,18.379
RUN-000001,3,0,33.793
RUN-000001,3,1,26.809
RUN-000001,3,2,24.96
RUN-000001,3,3,32.732
RUN-000001,3,4,8.833
RUN-000001,4,0,42.873
RUN-000001,4,1,32.172
RUN-000001,4,2,23.719
RUN-000001,4,3,18.606
RUN-000001,4,4,11.382
RUN-000002,0,0,38.731
RUN-000002,0,1,17.509
RUN-000002,0,2,32.036
RUN-000002,0,3,32.368
RUN-000002,0,4,28.36
RUN-000002,1,0,24.652
RUN-000002,1,1,34.102
RUN-000002,1,2,18.72
RUN-000002,1,3,49.029
RUN-000002,1,4,24.19
RUN-000002,2,0,14.275
RUN-000002,2,1,25.342
RUN-000002,2,2,25.066
RUN-000002,2,3,25.466
RUN-000002,2,4,7.243
RUN-000002,3,0,16.181
RUN-000002,3,1,53.746
RUN-000002,3,2,31.414
RUN-000002,3,3,32.598
RUN-000002,3,4,36.41
RUN-000002,4,0,24.681
RUN-000002,4,1,12.623
RUN-000002,4,2,6.746
RUN-000002,4,3,40.249
RUN-000002,4,4,28.868
RUN-000003,0,0,41.237
RUN-000003,0,1,22.885
RUN-000003,0,2,58.93
RUN-000003,0,3,34.58
RUN-000003,0,4,38.25
RUN-000003,1,0,34.135
RUN-000003,1,1,37.848
RUN-000003,1,2,46.824
RUN-000003,1,3,51.483
RUN-000003,1,4,50.456
RUN-000003,2,0,40.11
RUN-000003,2,1,57.823
RUN-000003,2,2,39.3
RUN-000003,2,3,45.422
RUN-000003,2,4,31.347
RUN-000003,3,0,54.36
RUN-000003,3,1,37.862
RUN-000003,3,2,36.286
RUN-000003,3,3,42.447
RUN-000003,3,4,23.781
RUN-000003,4,0,45.552
RUN-000003,4,1,21.995
RUN-000003,4,2,50.824
RUN-000003,4,3,41.455
RUN-000003,4,4,46.144
RUN-000004,0,0,34.203
RUN-000004,0,1,23.785
RUN-000004,0,2,7.408
RUN-000004,0,3,30.3
RUN-000004,0,4,14.637
RUN-000004,1,0,38.257
RUN-000004,1,1,24.756
RUN-000004,1,2,32.155
RUN-000004,1,3,27.168
RUN-000004,1,4,15.228
RUN-000004,2,0,21.943
RUN-000004,2,1,19.804
RUN-000004,2,2,20.717
RUN-000004,2,3,33.031
RUN-000004,2,4,24.161
RUN-000004,3,0,26.548
RUN-000004,3,1,31.656
RUN-000004,3,2,34.857
RUN-000004,3,3,31.247
RUN-000004,3,4,29.917
RUN-000004,4,0,5.0
RUN-000004,4,1,29.441
RUN-000004,4,2,17.181
RUN-000004,4,3,27.448
RUN-000004,4,4,23.918
RUN-000005,0,0,22.538
RUN-000005,0,1,9.001
RUN-000005,0,2,53.558
RUN-000005,0,3,22.724
RUN-000005,0,4,19.967
RUN-000005,1,0,19.291
RUN-000005,1,1,22.143
RUN-000005,1,2,29.711
RUN-000005,1,3,51.217
RUN-000005,1,4,42.775
RUN-000005,2,0,24.891
RUN-000005,2,1,42.045
RUN-000005,2,2,33.843
RUN-000005,2,3,40.032
RUN-000005,2,4,21.569
RUN-000005,3,0,34.099
RUN-000005,3,1,30.792
RUN-000005,3,2,33.995
RUN-000005,3,3,38.219
RUN-000005,3,4,32.833
RUN-000005,4,0,33.366
RUN-000005,4,1,15.83
RUN-000005,4,2,26.324
RUN-000005,4,3,35.763
RUN-000005,4,4,13.606
RUN-000006,0,0,48.834
RUN-000006,0,1,35.737
RUN-000006,0,2,21.137
RUN-000006,0,3,50.139
RUN-000006,0,4,28.759
RUN-000006,1,0,32.232
RUN-000006,1,1,13.758
RUN-000006,1,2,51.619
RUN-000006,1,3,25.288
RUN-000006,1,4,40.055
RUN-000006,2,0,50.935
RUN-000006,2,1,38.792
RUN-000006,2,2,48.206
RUN-000006,2,3,47.13
RUN-000006,2,4,31.757
RUN-000006,3,0,35.994
RUN-000006,3,1,38.299
RUN-000006,3,2,52.52
RUN-000006,3,3,32.288
RUN-000006,3,4,43.761
RUN-000006,4,0,29.566
RUN-000006,4,1,48.247
RUN-000006,4,2,39.473
RUN-000006,4,3,23.486
RUN-000006,4,4,21.918
RUN-000007,0,0,44.391
RUN-000007,0,1,29.633
RUN-000007,0,2,21.585
RUN-000007,0,3,43.152
RUN-000007,0,4,23.925
RUN-000007,1,0,37.327
RUN-000007,1,1,40.091
RUN-000007,1,2,27.251
RUN-000007,1,3,41.992
RUN-000007,1,4,13.509
RUN-000007,2,0,39.622
RUN-000007,2,1,40.73
RUN-000007,2,2,37.796
RUN-000007,2,3,42.055
RUN-000007,2,4,27.125
RUN-000007,3,0,44.461
RUN-000007,3,1,36.486
RUN-000007,3,2,29.787
RUN-000007,3,3,19.63
RUN-000007,3,4,43.247
RUN-000007,4,0,35.697
RUN-000007,4,1,15.454
RUN-000007,4,2,41.369
RUN-000007,4,3,34.826
RUN-000007,4,4,34.607
RUN-000008,0,0,45.799
RUN-000008,0,1,22.78
RUN-000008,0,2,37.517
RUN-000008,0,3,29.128
RUN-000008,0,4,32.147
RUN-000008,1,0,24.816
RUN-000008,1,1,48.193
RUN-000008,1,2,44.39
RUN-000008,1,3,37.107
RUN-000008,1,4,57.35
RUN-000008,2,0,26.159
RUN-000008,2,1,29.137
RUN-000008,2,2,27.681
RUN-000008,2,3,35.343
RUN-000008,2,4,26.749
RUN-000008,3,0,36.01
RUN-000008,3,1,54.933
RUN-000008,3,2,46.237
RUN-000008,3,3,36.748
RUN-000008,3,4,56.154
RUN-000008,4,0,37.318
RUN-000008,4,1,58.206
RUN-000008,4,2,35.018
RUN-000008,4,3,49.497
RUN-000008,4,4,29.835
RUN-000009,0,0,21.922
RUN-000009,0,1,32.662
