run_id,wafer_id,wiwnu_pct,thickness_range_nm,dishing_nm,erosion_pct,particle_count_ge_50nm,scratch_count,electrical_res_ohm,leakage_na,yield_flag
RUN-000000,W-RUN-000000,3.166,17.23,12.01,2.415,33,3,0.015497,6.83,1
RUN-000001,W-RUN-000001,3.175,15.97,12.61,2.694,79,0,0.01612,4.462,1
RUN-000002,W-RUN-000002,3.227,21.94,15.74,2.821,65,2,0.016547,7.842,1
RUN-000003,W-RUN-000003,3.216,15.6,13.74,3.545,64,3,0.015035,6.163,1
RUN-000004,W-RUN-000004,3.244,19.81,12.66,1.681,55,2,0.014784,5.279,1
RUN-000005,W-RUN-000005,3.299,21.4,16.04,2.065,37,2,0.015266,3.806,1
RUN-000006,W-RUN-000006,3.216,21.09,10.55,2.672,41,3,0.015829,4.848,1
RUN-000007,W-RUN-000007,3.182,20.14,10.94,2.705,71,3,0.016516,4.674,1
RUN-000008,W-RUN-000008,3.294,21.91,17.61,3.771,64,4,0.016758,5.964,1
RUN-000009,W-RUN-000009,3.209,19.72,19.42,3.596,60,1,0.015421,5.967,1
RUN-000010,W-RUN-000010,3.225,19.94,8.5,1.786,59,0,0.016148,5.97,1
RUN-000011,W-RUN-000011,3.162,23.49,9.72,1.538,52,0,0.015511,5.669,1
RUN-000012,W-RUN-000012,3.241,23.04,18.07,3.291,42,1,0.017473,6.874,1
RUN-000013,W-RUN-000013,3.213,18.71,11.24,3.316,85,2,0.015235,7.687,0
RUN-000014,W-RUN-000014,3.168,26.26,10.56,3.802,68,0,0.015788,6.667,1
RUN-000015,W-RUN-000015,3.173,14.92,8.26,2.093,42,3,0.015358,3.241,1
RUN-000016,W-RUN-000016,3.209,25.34,16.89,4.056,37,1,0.016243,6.705,1
RUN-000017,W-RUN-000017,3.189,18.82,11.01,2.456,56,2,0.015639,7.636,1
RUN-000018,W-RUN-000018,3.283,17.19,9.74,1.955,67,2,0.015503,5.611,1
RUN-000019,W-RUN-000019,3.221,20.24,20.25,3.508,57,1,0.016722,5.723,1
RUN-000020,W-RUN-000020,3.197,15.24,12.18,2.692,66,1,0.015393,5.469,1
RUN-000021,W-RUN-000021,3.215,21.36,14.28,2.324,49,4,0.014654,4.358,1
RUN-000022,W-RUN-000022,3.181,18.17,15.44,4.127,50,0,0.015596,3.846,1
RUN-000023,W-RUN-000023,3.199,19.6,21.28,4.573,36,2,0.016546,6.564,1
RUN-000024,W-RUN-000024,3.194,19.93,9.05,2.695,58,2,0.014417,7.409,1
RUN-000025,W-RUN-000025,3.153,24.28,16.5,3.775,47,1,0.015891,5.503,1
RUN-000026,W-RUN-000026,3.2,21.56,21.63,3.473,61,2,0.015472,5.351,1
RUN-000027,W-RUN-000027,3.29,21.23,25.29,2.885,67,2,0.016836,5.304,0
RUN-000028,W-RUN-000028,3.175,28.04,16.16,3.896,33,2,0.016079,7.515,1
RUN-000029,W-RUN-000029,3.197,21.93,15.86,2.923,67,4,0.014765,2.868,1
RUN-000030,W-RUN-000030,3.326,21.43,20.48,3.27,80,1,0.015348,4.868,0
RUN-000031,W-RUN-000031,3.224,19.76,12.21,3.903,69,1,0.015498,6.93,1
RUN-000032,W-RUN-000032,3.2,26.42,15.14,4.991,45,0,0.016813,4.285,1
RUN-000033,W-RUN-000033,3.224,19.88,22.58,3.633,61,2,0.016427,6.665,1
RUN-000034,W-RUN-000034,3.233,18.52,7.08,2.882,80,1,0.015089,4.834,0
RUN-000035,W-RUN-000035,3.177,17.53,14.65,2.821,63,1,0.015488,5.951,1
RUN-000036,W-RUN-000036,3.179,21.68,10.44,2.411,61,0,0.015127,6.67,1
RUN-000037,W-RUN-000037,3.212,17.32,12.59,3.676,40,1,0.014559,3.958,1
RUN-000038,W-RUN-000038,3.269,21.75,18.05,3.998,68,2,0.016205,6.151,1
RUN-000039,W-RUN-000039,3.233,16.97,12.78,3.416,53,1,0.016502,5.705,1
RUN-000040,W-RUN-000040,3.228,19.49,16.82,3.358,58,1,0.015861,3.749,1
RUN-000041,W-RUN-000041,3.217,20.95,11.3,3.334,63,2,0.017302,4.22,1
RUN-000042,W-RUN-000042,3.205,20.83,10.19,2.165,59,1,0.016618,6.181,1
RUN-000043,W-RUN-000043,3.197,19.43,12.46,3.07,44,1,0.016069,5.234,1
RUN-000044,W-RUN-000044,3.336,16.81,9.85,2.32,43,0,0.016508,5.394,1
RUN-000045,W-RUN-000045,3.15,17.68,10.57,3.072,45,2,0.016138,5.991,1
RUN-000046,W-RUN-000046,3.168,16.81,14.44,4.085,33,2,0.016299,3.993,1
RUN-000047,W-RUN-000047,3.28,26.15,13.24,2.693,55,2,0.015725,8.41,1
RUN-000048,W-RUN-000048,3.192,18.61,7.1,1.994,62,2,0.015839,8.616,1
