run_id,brush_speed_rpm,contact_force_n,chem_type,chem_conc_pct,megasonic_w,megasonic_khz,di_temp_c,rinse_s,dry_type
RUN-000000,220,9,alkaline,1.001,150,1000,22.421,20,Marangoni
RUN-000001,200,9,acidic,0.599,0,0,22.448,30,Marangoni
RUN-000002,220,9,acidic,0.623,250,800,22.492,20,SR
RUN-000003,200,9,alkaline,0.972,150,1000,22.239,20,SR
RUN-000004,200,9,acidic,0.367,0,0,21.9,40,SR
RUN-000005,240,7,acidic,0.341,150,800,21.793,40,Marangoni
RUN-000006,240,9,alkaline,0.961,0,0,22.107,20,SR
RUN-000007,220,5,acidic,0.428,0,0,22.175,40,SR
RUN-000008,240,7,alkaline,1.159,0,0,22.33,30,Marangoni
RUN-000009,240,9,acidic,0.539,0,0,22.062,30,Marangoni
RUN-000010,240,7,alkaline,0.916,0,0,22.334,30,Marangoni
RUN-000011,200,5,acidic,0.49,0,0,22.132,20,SR
RUN-000012,240,9,alkaline,0.981,150,800,21.763,40,SR
RUN-000013,220,9,alkaline,0.864,0,0,22.609,40,SR
RUN-000014,240,9,acidic,0.519,0,0,22.034,20,Marangoni
RUN-000015,200,7,acidic,0.495,150,800,22.37,20,Marangoni
RUN-000016,240,5,acidic,0.375,150,1000,22.205,20,Marangoni
RUN-000017,220,9,alkaline,0.995,0,0,21.871,20,Marangoni
RUN-000018,200,9,acidic,0.494,150,1000,21.409,20,Marangoni
RUN-000019,220,7,acidic,0.529,250,800,22.06,30,Marangoni
RUN-000020,240,7,acidic,0.524,0,0,21.914,30,Marangoni
RUN-000021,220,7,acidic,0.393,150,1000,21.983,40,SR
RUN-000022,240,5,alkaline,0.956,150,1000,21.98,40,Marangoni
RUN-000023,240,9,alkaline,1.045,150,1000,22.266,40,Marangoni
RUN-000024,220,7,acidic,0.549,150,1000,22.14,30,Marangoni
RUN-000025,240,5,alkaline,1.174,150,800,21.579,30,SR
RUN-000026,220,7,alkaline,0.991,0,0,22.27,20,SR
RUN-000027,220,5,acidic,0.391,250,800,21.96,20,SR
RUN-000028,200,5,alkaline,1.031,150,1000,21.748,30,SR
RUN-000029,200,7,acidic,0.605,0,0,22.267,20,Marangoni
RUN-000030,220,9,acidic,0.484,0,0,21.673,30,SR
RUN-000031,220,5,alkaline,1.044,0,0,21.87,20,SR
RUN-000032,220,7,alkaline,1.278,250,800,21.784,20,Marangoni
RUN-000033,240,9,alkaline,1.086,0,0,21.566,30,SR
RUN-000034,240,5,acidic,0.52,0,0,21.637,30,SR
RUN-000035,220,7,acidic,0.512,150,800,21.743,30,Marangoni
RUN-000036,240,7,alkaline,1.198,150,1000,22.191,20,Marangoni
RUN-000037,200,7,alkaline,1.087,150,1000,22.177,20,SR
RUN-000038,240,5,alkaline,0.905,0,0,21.577,20,Marangoni
RUN-000039,200,9,acidic,0.266,0,0,21.955,30,SR
RUN-000040,200,7,alkaline,0.889,0,0,21.609,30,Marangoni
RUN-000041,240,7,alkaline,0.983,250,800,21.537,20,SR
RUN-000042,220,5,acidic,0.577,0,0,21.581,30,Marangoni
RUN-000043,240,9,alkaline,1.012,250,1000,21.452,40,Marangoni
RUN-000044,240,5,acidic,0.347,150,800,21.123,20,Marangoni
RUN-000045,240,5,acidic,0.46,250,1000,21.545,20,SR
RUN-000046,240,5,alkaline,1.036,150,1000,21.603,20,SR
RUN-000047,220,5,alkaline,0.875,150,1000,21.284,40,SR
RUN-000048,220,7,alkaline,0.933,150,800,21.385,20,Marangoni
RUN-000049,200,7,acidic,0.634,0,0,21.671,30,SR
RUN-000050,220,5,acidic,0.528,250,1000,21.6,20,Marangoni
RUN-000051,220,7,alkaline,0.891,250,800,21.732,20,SR
RUN-000052,220,5,alkaline,1.122,0,0,21.464,30,SR
RUN-000053,240,7,acidic,0.668,0,0,21.491,20,SR
