run_id,split_hint,fab_id,tool_id,recipe_id,product_id,layer_id,process_type,wafer_id,lot_id,slurry_lot,run_start_ts,run_end_ts,pad_type,conditioner_type,slurry_type,slurry_pH,particle_size_nm,oxidizer_pct,pad_age_wafers,disk_age_wafers,pre_thickness_nm,target_post_thk_nm,target_mrr_nmps,mrr_pred_nmps,mrr_err_abs,mrr_err_pct,mrr_err_ewma,drift_flag_mrr,auto_retrain,model_ref_pad_factor,model_ref_lot_pH,last_retrain_ts
RUN-000000,train,H-FAB,CMP-01,RCP-C,P126,STI,STI_Oxide,W-RUN-000000,LOT-0701,LOT-S4330,2025-07-01T08:00:00,2025-07-01T08:01:07,IC1000,3M-Std,Oxide-alkaline,10.14,63.4,0.233,62,69,1068.6,800,6.5399,3.0,3.5399,54.128,54.128,1,1,1.0414,10.14,2025-07-01T08:00:00
RUN-000001,train,H-FAB,CMP-01,RCP-C,P142,M1,Cu,W-RUN-000001,LOT-0701,LOT-S4330,2025-07-01T08:09:07,2025-07-01T08:10:23,IC1000,3M-Std,Cu-acidic,3.387,135.6,1.774,63,70,940.5,300,12.6811,3.0,9.6811,76.343,58.571,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000002,train,H-FAB,CMP-01,RCP-C,P141,M1,Cu,W-RUN-000002,LOT-0701,LOT-S4330,2025-07-01T08:22:23,2025-07-01T08:23:33,IC1000,3M-Std,Cu-acidic,3.429,106.6,2.209,64,71,915.1,300,15.7593,3.0,12.7593,80.964,63.049,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000003,train,H-FAB,CMP-01,RCP-A,P113,STI,STI_Oxide,W-RUN-000003,LOT-0701,LOT-S4330,2025-07-01T08:34:33,2025-07-01T08:35:44,IC1000,3M-Std,Oxide-alkaline,10.465,69.6,0.176,65,72,1042.2,800,9.0146,8.1749,0.8397,9.315,52.303,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000004,train,H-FAB,CMP-01,RCP-C,P114,M1,Cu,W-RUN-000004,LOT-0701,LOT-S4330,2025-07-01T08:47:44,2025-07-01T08:48:54,IC1000,3M-Std,Cu-acidic,3.353,123.2,2.376,66,73,933.3,300,19.8856,3.0,16.8856,84.914,58.825,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000005,train,H-FAB,CMP-01,RCP-C,P125,M1,Cu,W-RUN-000005,LOT-0701,LOT-S4330,2025-07-01T08:55:54,2025-07-01T08:57:06,IC1000,3M-Std,Cu-acidic,3.732,133.9,1.949,67,74,950.2,300,11.337,3.0,8.337,73.538,61.767,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000006,train,H-FAB,CMP-01,RCP-C,P117,STI,STI_Oxide,W-RUN-000006,LOT-0701,LOT-S4330,2025-07-01T09:11:06,2025-07-01T09:12:16,IC1000,3M-Std,Oxide-alkaline,10.307,78.2,0.221,68,75,1053.7,800,4.126,3.924,0.2021,4.898,50.394,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000007,train,H-FAB,CMP-01,RCP-A,P131,M1,Cu,W-RUN-000007,LOT-0701,LOT-S4330,2025-07-01T09:22:16,2025-07-01T09:23:27,IC1000,3M-Std,Cu-acidic,3.312,107.2,2.222,69,76,937.4,300,15.9792,3.0,12.9792,81.226,56.56,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000008,train,H-FAB,CMP-01,RCP-A,P129,STI,STI_Oxide,W-RUN-000008,LOT-0701,LOT-S4330,2025-07-01T09:32:27,2025-07-01T09:33:42,IC1000,3M-Std,Oxide-alkaline,10.546,66.8,0.209,70,77,1030.4,800,7.3688,6.5399,0.8289,11.248,47.498,1,0,1.0414,10.14,2025-07-01T08:00:00
RUN-000009,train,H-FAB,CMP-01,RCP-B,P119,M1,Cu,W-RUN-000009,LOT-0701,LOT-S4330,2025-07-01T09:45:42,2025-07-01T09:47:00,IC1000,3M-Std,Cu-acidic,3.537,121.2,1.916,71,78,948.9,300,15.5032,3.0,12.5032,80.649,54.128,1,0,1.0414,10.14,2025-07-01T08:00:00
