run_id,cond_force_n,cond_rpm,cond_sweep_mms,cond_time_s
RUN-000000,30,60,20,30
RUN-000001,40,80,20,30
RUN-000002,30,60,15,30
RUN-000003,40,80,15,60
RUN-000004,30,60,20,60
RUN-000005,30,60,10,45
RUN-000006,50,60,10,30
RUN-000007,50,80,15,45
RUN-000008,40,60,20,45
RUN-000009,30,80,20,45
RUN-000010,40,80,20,30
RUN-000011,50,80,20,45
RUN-000012,50,60,15,45
RUN-000013,40,60,15,30
RUN-000014,50,60,15,45
RUN-000015,30,80,20,45
RUN-000016,50,60,10,45
RUN-000017,30,80,10,30
RUN-000018,40,60,15,30
RUN-000019,50,80,10,60
RUN-000020,40,60,20,60
RUN-000021,30,80,10,45
RUN-000022,30,80,20,60
RUN-000023,30,80,10,45
RUN-000024,30,60,10,45
RUN-000025,50,60,20,30
RUN-000026,50,80,20,45
RUN-000027,30,80,15,60
RUN-000028,30,60,10,45
RUN-000029,50,60,20,60
RUN-000030,30,80,10,60
RUN-000031,30,80,10,30
RUN-000032,50,80,10,45
RUN-000033,40,60,15,30
RUN-000034,50,60,10,60
RUN-000035,30,60,15,30
RUN-000036,50,60,15,45
RUN-000037,50,80,10,60
RUN-000038,50,60,15,30
RUN-000039,40,60,20,30
RUN-000040,30,60,15,30
RUN-000041,50,60,10,60
RUN-000042,50,80,10,30
RUN-000043,40,60,20,45
RUN-000044,30,80,20,60
RUN-000045,50,80,20,45
RUN-000046,40,60,10,45
RUN-000047,40,80,15,30
RUN-000048,30,80,20,30
RUN-000049,50,60,15,30
RUN-000050,40,80,10,30
RUN-000051,50,60,20,60
RUN-000052,30,80,10,30
RUN-000053,50,80,15,30
RUN-000054,50,80,20,30
RUN-000055,50,60,15,45
RUN-000056,30,60,15,45
RUN-000057,40,60,15,30
RUN-000058,50,60,15,30
RUN-000059,30,80,20,30
RUN-000060,50,60,10,30
RUN-000061,50,80,15,45
RUN-000062,40,80,15,60
RUN-000063,40,80,20,45
RUN-000064,30,60,10,60
RUN-000065,50,60,10,60
RUN-000066,50,80,20,45
RUN-000067,30,60,10,60
RUN-000068,50,80,10,45
RUN-000069,50,60,15,60
RUN-000070,50,80,20,45
RUN-000071,40,80,15,45
RUN-000072,50,80,10,30
RUN-000073,50,80,10,60
RUN-000074,50,60,10,60
RUN-000075,40,80,15,30
RUN-000076,50,80,15,30
RUN-000077,50,80,15,60
RUN-000078,50,80,15,30
RUN-000079,30,60,20,45
RUN-000080,50,60,10,45
RUN-000081,50,80,10,45
RUN-000082,50,80,10,60
RUN-000083,40,60,10,45
RUN-000084,40,80,20,30
RUN-000085,30,80,10,45
RUN-000086,50,60,10,30
RUN-000087,30,80,15,30
RUN-000088,40,60,15,30
RUN-000089,50,80,10,60
RUN-000090,30,60,20,45
RUN-000091,40,60,15,30
RUN-000092,30,60,15,30
RUN-000093,30,80,15,30
RUN-000094,40,80,20,45
RUN-000095,50,60,15,60
RUN-000096,40,60,15,60
RUN-000097,30,80,10,60
RUN-000098,50,60,15,30
RUN-000099,30,80,15,45
RUN-000100,40,60,20,60
RUN-000101,50,60,10,30
RUN-000102,50,80,20,60
RUN-000103,50,80,15,30
RUN-000104,50,80,20,60
RUN-000105,30,80,10,45
RUN-000106,30,60,10,60
RUN-000107,30,80,10,60
RUN-000108,30,60,20,60
RUN-000109,40,60,20,30
RUN-000110,50,80,15,60
RUN-000111,30,60,15,45
RUN-000112,50,60,20,60
RUN-000113,40,60,10,60
RUN-000114,30,60,20,60
RUN-000115,40,80,15,60
RUN-000116,30,80,15,60
RUN-000117,40,80,10,30
RUN-000118,30,80,20,45
RUN-000119,40,60,10,60
RUN-000120,50,80,10,45
RUN-000121,50,60,10,60
RUN-000122,50,80,15,60
RUN-000123,40,80,15,45
RUN-000124,50,80,20,45
RUN-000125,40,80,10,45
RUN-000126,30,60,20,60
RUN-000127,30,80,10,60
RUN-000128,50,60,15,30
RUN-000129,40,60,15,60
RUN-000130,40,80,20,60
RUN-000131,30,60,20,45
RUN-000132,40,60,10,30
RUN-000133,40,80,15,45
RUN-000134,30,60,20,30
RUN-000135,50,80,10,45
RUN-000136,30,60,10,30
RUN-000137,50,60,15,45
RUN-000138,30,60,20,60
RUN-000139,50,60,15,60
RUN-000140,40,60,20,60
RUN-000141,30,60,20,60
RUN-000142,40,60,20,30
RUN-000143,50,60,15,45
RUN-000144,50,60,15,45
RUN-000145,40,80,15,30
RUN-000146,50,80,15,30
RUN-000147,40,80,15,45
RUN-000148,40,60,10,60
RUN-000149,40,60,15,60
RUN-000150,40,60,20,60
RUN-000151,30,80,15,30
RUN-000152,50,80,10,45
RUN-000153,40,80,10,60
RUN-000154,50,80,10,45
RUN-000155,50,80,10,45
RUN-000156,30,80,10,30
RUN-000157,40,60,15,45
RUN-000158,50,80,20,60
RUN-000159,30,80,20,30
RUN-000160,30,80,20,30
RUN-000161,30,80,15,60
RUN-000162,30,80,10,45
RUN-000163,40,80,20,45
RUN-000164,50,80,10,30
RUN-000165,30,60,15,45
RUN-000166,40,60,10,60
RUN-000167,50,60,15,30
RUN-000168,30,60,15,30
RUN-000169,50,80,10,60
RUN-000170,30,60,15,30
RUN-000171,50,80,20,60
RUN-000172,50,80,10,45
RUN-000173,40,60,15,30
RUN-000174,50,80,10,45
RUN-000175,50,60,10,45
RUN-000176,40,80,15,60
RUN-000177,40,60,15,60
RUN-000178,40,80,15,60
RUN-000179,40,80,20,30
RUN-000180,40,80,20,45
RUN-000181,50,80,15,60
RUN-000182,30,60,10,45
RUN-000183,50,80,20,60
RUN-000184,30,60,10,60
RUN-000185,40,80,15,60
RUN-000186,40,80,10,30
RUN-000187,50,80,15,30
RUN-000188,30,80,15,30
RUN-000189,30,80,10,45
RUN-000190,30,60,10,45
RUN-000191,50,60,10,30
RUN-000192,30,80,20,30
RUN-000193,40,80,10,45
RUN-000194,40,80,20,30
RUN-000195,50,80,15,30
RUN-000196,50,60,20,60
RUN-000197,50,60,15,30
RUN-000198,30,60,20,30
RUN-000199,30,80,15,45
RUN-000200,30,60,15,45
RUN-000201,30,60,15,30
RUN-000202,30,60,10,30
RUN-000203,30,60,10,45
RUN-000204,40,80,10,60
RUN-000205,40,60,20,45
RUN-000206,30,60,20,45
RUN-000207,30,60,15,30
RUN-000208,30,80,20,60
RUN-000209,30,80,20,60
RUN-000210,30,60,15,30
RUN-000211,50,60,15,60
RUN-000212,50,80,10,60
RUN-000213,30,60,10,60
RUN-000214,30,60,10,30
RUN-000215,50,80,15,45
RUN-000216,50,60,10,30
RUN-000217,40,60,10,60
RUN-000218,50,80,20,30
RUN-000219,40,60,20,60
RUN-000220,40,60,15,60
RUN-000221,40,80,15,45
RUN-000222,50,80,20,45
RUN-000223,40,80,15,60
RUN-000224,50,80,15,30
RUN-000225,30,60,20,60
RUN-000226,40,60,15,45
RUN-000227,30,80,15,30
RUN-000228,50,60,15,30
RUN-000229,30,60,15,45
RUN-000230,30,60,10,30
RUN-000231,30,80,20,30
RUN-000232,30,80,15,45
RUN-000233,30,60,10,45
RUN-000234,40,80,10,45
RUN-000235,40,80,15,30
RUN-000236,50,60,20,60
RUN-000237,30,80,10,60
RUN-000238,50,60,10,60
RUN-000239,40,80,15,45
RUN-000240,40,80,20,30
RUN-000241,50,80,20,45
RUN-000242,50,80,10,60
RUN-000243,30,60,20,45
RUN-000244,50,80,20,45
RUN-000245,40,80,15,60
RUN-000246,40,80,20,60
RUN-000247,40,60,10,30
RUN-000248,40,60,20,30
RUN-000249,50,80,20,60
RUN-000250,30,60,10,30
RUN-000251,30,80,10,60
RUN-000252,30,80,15,45
RUN-000253,50,60,15,45
RUN-000254,50,80,10,30
RUN-000255,30,60,15,30
RUN-000256,50,80,20,60
RUN-000257,40,80,15,30
RUN-000258,40,80,15,30
RUN-000259,50,60,10,60
