ts,tool_id,event,detail
2025-07-01T08:00:00,CMP-01,auto_retrain,
2025-07-01T08:00:00,CMP-02,auto_retrain,
2025-07-03T02:00:00,CMP-02,maintenance_start,4h
2025-07-03T06:00:00,CMP-02,maintenance_end,
2025-07-04T10:25:28,CMP-01,auto_retrain,
2025-07-05T22:56:34,CMP-02,auto_retrain,
2025-07-08T15:00:00,CMP-01,slurry_lot_change,LOT-S7259
2025-07-08T15:00:00,CMP-02,slurry_lot_change,LOT-S9167
2025-07-07T14:05:43,CMP-01,pad_change,IC1000
2025-07-07T14:28:31,CMP-01,auto_retrain,
2025-07-09T02:42:22,CMP-02,pad_change,NexPlanar-XP
2025-07-09T03:05:51,CMP-02,auto_retrain,
2025-07-15T15:00:00,CMP-01,slurry_lot_change,LOT-S3042
2025-07-15T15:00:00,CMP-02,slurry_lot_change,LOT-S7727
2025-07-16T02:00:00,CMP-01,maintenance_start,4h
2025-07-16T06:00:00,CMP-01,maintenance_end,
2025-07-17T02:00:00,CMP-02,maintenance_start,4h
2025-07-17T06:00:00,CMP-02,maintenance_end,
2025-07-17T11:53:36,CMP-01,disk_change,3M-Std
2025-07-18T00:49:31,CMP-02,disk_change,Kinik-3.5
2025-07-19T01:54:53,CMP-01,auto_retrain,
2025-07-19T14:35:40,CMP-02,auto_retrain,
2025-07-22T15:00:00,CMP-01,slurry_lot_change,LOT-S5329
2025-07-22T15:00:00,CMP-02,slurry_lot_change,LOT-S4530
2025-07-22T04:44:06,CMP-01,pad_change,NexPlanar-XP
2025-07-22T05:25:15,CMP-01,auto_retrain,
2025-07-22T17:27:52,CMP-02,pad_change,NexPlanar-XP
2025-07-22T18:08:21,CMP-02,auto_retrain,
2025-07-29T15:00:00,CMP-01,slurry_lot_change,LOT-S1919
2025-07-29T15:00:00,CMP-02,slurry_lot_change,LOT-S1280
2025-07-30T02:00:00,CMP-01,maintenance_start,4h
2025-07-30T06:00:00,CMP-01,maintenance_end,
2025-07-31T02:00:00,CMP-02,maintenance_start,4h
2025-07-31T06:00:00,CMP-02,maintenance_end,
2025-08-01T17:46:46,CMP-01,disk_change,Kinik-3.5
2025-08-01T18:41:56,CMP-01,auto_retrain,
2025-08-02T06:40:05,CMP-02,disk_change,Kinik-3.5
2025-08-02T07:39:23,CMP-02,auto_retrain,
2025-08-05T15:00:00,CMP-01,slurry_lot_change,LOT-S7819
2025-08-05T15:00:00,CMP-02,slurry_lot_change,LOT-S7290
2025-08-04T21:16:17,CMP-01,pad_change,IC1000
2025-08-04T22:21:57,CMP-01,auto_retrain,
2025-08-05T10:02:05,CMP-02,pad_change,IC1000
2025-08-05T11:17:30,CMP-02,auto_retrain,
2025-08-12T15:00:00,CMP-01,slurry_lot_change,LOT-S9015
2025-08-12T15:00:00,CMP-02,slurry_lot_change,LOT-S6828
2025-08-13T02:00:00,CMP-01,maintenance_start,4h
2025-08-13T06:00:00,CMP-01,maintenance_end,
2025-08-14T02:00:00,CMP-02,maintenance_start,4h
2025-08-14T06:00:00,CMP-02,maintenance_end,
2025-08-15T12:10:45,CMP-01,auto_retrain,
2025-08-15T23:59:32,CMP-02,auto_retrain,
2025-08-19T15:00:00,CMP-01,slurry_lot_change,LOT-S3008
2025-08-19T15:00:00,CMP-02,slurry_lot_change,LOT-S2611
2025-08-17T00:14:30,CMP-01,disk_change,Kinik-3.5
2025-08-17T12:15:24,CMP-02,disk_change,3M-Std
2025-08-18T13:34:35,CMP-01,pad_change,NexPlanar-XP
2025-08-18T15:07:03,CMP-01,auto_retrain,
2025-08-19T00:22:11,CMP-02,pad_change,NexPlanar-XP
2025-08-19T01:57:12,CMP-02,auto_retrain,
2025-08-26T15:00:00,CMP-01,slurry_lot_change,LOT-S5574
2025-08-26T15:00:00,CMP-02,slurry_lot_change,LOT-S0911
2025-08-27T02:00:00,CMP-01,maintenance_start,4h
2025-08-27T06:00:00,CMP-01,maintenance_end,
2025-08-28T02:00:00,CMP-02,maintenance_start,4h
2025-08-28T06:00:00,CMP-02,maintenance_end,
