run_id,tool_id,layer_id,recipe_id,pad_age_bin,pattern_density_bin,slurry_lot,slurry_pH_bin
RUN-000000,CMP-01,STI,RCP-C,pad_new,mid,LOT-S4330,alkaline
RUN-000001,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000002,CMP-01,M1,RCP-A,pad_new,mid,LOT-S4330,acidic
RUN-000003,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000004,CMP-01,STI,RCP-C,pad_new,mid,LOT-S4330,alkaline
RUN-000005,CMP-01,STI,RCP-A,pad_new,mid,LOT-S4330,alkaline
RUN-000006,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000007,CMP-01,STI,RCP-A,pad_new,mid,LOT-S4330,alkaline
RUN-000008,CMP-01,STI,RCP-C,pad_new,mid,LOT-S4330,alkaline
RUN-000009,CMP-01,STI,RCP-C,pad_new,mid,LOT-S4330,alkaline
RUN-000010,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000011,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000012,CMP-01,STI,RCP-A,pad_new,mid,LOT-S4330,alkaline
RUN-000013,CMP-01,STI,RCP-B,pad_new,mid,LOT-S4330,alkaline
RUN-000014,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000015,CMP-01,M1,RCP-A,pad_new,mid,LOT-S4330,acidic
RUN-000016,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000017,CMP-01,STI,RCP-A,pad_new,mid,LOT-S4330,alkaline
RUN-000018,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000019,CMP-01,STI,RCP-A,pad_new,mid,LOT-S4330,alkaline
RUN-000020,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000021,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000022,CMP-01,M1,RCP-A,pad_new,mid,LOT-S4330,acidic
RUN-000023,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000024,CMP-01,M1,RCP-B,pad_new,mid,LOT-S4330,acidic
RUN-000025,CMP-01,M1,RCP-C,pad_new,mid,LOT-S4330,acidic
RUN-000026,CMP-01,STI,RCP-A,pad_new,mid,LOT-S4330,alkaline
RUN-000027,CMP-01,STI,RCP-B,pad_new,mid,LOT-S4330,alkaline
RUN-000028,CMP-01,M1,RCP-A,pad_new,mid,LOT-S4330,acidic
