run_id,grid_x,grid_y,pattern_density_pct
RUN-000000,0,0,36.838
RUN-000000,0,1,40.66
RUN-000000,0,2,30.411
RUN-000000,0,3,52.225
RUN-000000,0,4,43.654
RUN-000000,1,0,39.832
RUN-000000,1,1,51.272
RUN-000000,1,2,48.785
RUN-000000,1,3,38.455
RUN-000000,1,4,44.127
RUN-000000,2,0,31.47
RUN-000000,2,1,44.675
RUN-000000,2,2,39.501
RUN-000000,2,3,35.717
RUN-000000,2,4,44.308
RUN-000000,3,0,48.794
RUN-000000,3,1,31.407
RUN-000000,3,2,38.151
RUN-000000,3,3,36.479
RUN-000000,3,4,61.416
RUN-000000,4,0,47.778
RUN-000000,4,1,43.688
RUN-000000,4,2,33.191
RUN-000000,4,3,45.323
RUN-000000,4,4,35.936
RUN-000001,0,0,40.258
RUN-000001,0,1,33.793
RUN-000001,0,2,26.809
RUN-000001,0,3,24.96
RUN-000001,0,4,32.732
RUN-000001,1,0,30.389
RUN-000001,1,1,42.873
RUN-000001,1,2,32.172
RUN-000001,1,3,23.719
RUN-000001,1,4,18.606
RUN-000001,2,0,21.55
RUN-000001,2,1,41.0
RUN-000001,2,2,27.979
RUN-000001,2,3,33.115
RUN-000001,2,4,25.188
RUN-000001,3,0,19.163
RUN-000001,3,1,28.678
RUN-000001,3,2,24.221
RUN-000001,3,3,25.98
RUN-000001,3,4,44.378
RUN-000001,4,0,33.446
RUN-000001,4,1,17.558
RUN-000001,4,2,32.529
RUN-000001,4,3,32.441
RUN-000001,4,4,18.379
RUN-000002,0,0,34.5
RUN-000002,0,1,21.905
RUN-000002,0,2,23.837
RUN-000002,0,3,18.96
RUN-000002,0,4,24.337
RUN-000002,1,0,35.633
RUN-000002,1,1,38.781
RUN-000002,1,2,29.773
RUN-000002,1,3,33.228
RUN-000002,1,4,23.754
RUN-000002,2,0,31.146
RUN-000002,2,1,16.27
RUN-000002,2,2,23.775
RUN-000002,2,3,18.499
RUN-000002,2,4,43.251
RUN-000002,3,0,33.299
RUN-000002,3,1,33.284
RUN-000002,3,2,19.283
RUN-000002,3,3,37.12
RUN-000002,3,4,33.303
RUN-000002,4,0,37.776
RUN-000002,4,1,31.787
RUN-000002,4,2,26.464
RUN-000002,4,3,18.185
RUN-000002,4,4,27.883
RUN-000003,0,0,41.649
RUN-000003,0,1,26.939
RUN-000003,0,2,33.694
RUN-000003,0,3,32.614
RUN-000003,0,4,34.961
RUN-000003,1,0,39.277
RUN-000003,1,1,25.098
RUN-000003,1,2,25.068
RUN-000003,1,3,38.264
RUN-000003,1,4,33.663
RUN-000003,2,0,55.725
RUN-000003,2,1,21.1
RUN-000003,2,2,49.354
RUN-000003,2,3,32.792
RUN-000003,2,4,27.117
RUN-000003,3,0,22.5
RUN-000003,3,1,5.0
RUN-000003,3,2,30.134
RUN-000003,3,3,43.688
RUN-000003,3,4,34.05
RUN-000003,4,0,24.926
RUN-000003,4,1,25.653
RUN-000003,4,2,42.91
RUN-000003,4,3,30.559
RUN-000003,4,4,52.344
RUN-000004,0,0,41.705
RUN-000004,0,1,60.767
RUN-000004,0,2,47.707
RUN-000004,0,3,27.412
RUN-000004,0,4,34.776
RUN-000004,1,0,37.099
RUN-000004,1,1,31.547
RUN-000004,1,2,52.676
RUN-000004,1,3,50.48
RUN-000004,1,4,35.292
RUN-000004,2,0,40.041
RUN-000004,2,1,48.59
RUN-000004,2,2,31.428
RUN-000004,2,3,35.336
RUN-000004,2,4,47.393
RUN-000004,3,0,42.565
RUN-000004,3,1,42.078
RUN-000004,3,2,39.911
RUN-000004,3,3,28.912
RUN-000004,3,4,28.383
RUN-000004,4,0,44.353
RUN-000004,4,1,24.289
RUN-000004,4,2,22.746
RUN-000004,4,3,42.295
RUN-000004,4,4,30.946
RUN-000005,0,0,39.494
RUN-000005,0,1,32.73
RUN-000005,0,2,19.972
RUN-000005,0,3,53.095
RUN-000005,0,4,31.959
RUN-000005,1,0,53.079
RUN-000005,1,1,63.839
RUN-000005,1,2,32.401
RUN-000005,1,3,53.403
RUN-000005,1,4,30.052
RUN-000005,2,0,20.3
RUN-000005,2,1,39.338
RUN-000005,2,2,49.832
RUN-000005,2,3,45.17
RUN-000005,2,4,29.556
RUN-000005,3,0,39.445
RUN-000005,3,1,35.923
RUN-000005,3,2,33.711
RUN-000005,3,3,35.449
RUN-000005,3,4,33.819
RUN-000005,4,0,39.599
RUN-000005,4,1,40.26
RUN-000005,4,2,31.711
RUN-000005,4,3,37.605
RUN-000005,4,4,29.653
RUN-000006,0,0,20.16
RUN-000006,0,1,43.047
RUN-000006,0,2,33.047
RUN-000006,0,3,27.472
RUN-000006,0,4,21.222
RUN-000006,1,0,23.614
RUN-000006,1,1,20.242
RUN-000006,1,2,34.798
RUN-000006,1,3,40.757
RUN-000006,1,4,46.062
RUN-000006,2,0,30.997
RUN-000006,2,1,22.661
RUN-000006,2,2,16.598
RUN-000006,2,3,53.118
RUN-000006,2,4,40.424
RUN-000006,3,0,27.792
RUN-000006,3,1,15.638
RUN-000006,3,2,29.988
RUN-000006,3,3,20.529
RUN-000006,3,4,28.645
RUN-000006,4,0,37.103
RUN-000006,4,1,50.304
RUN-000006,4,2,35.092
RUN-000006,4,3,19.779
RUN-000006,4,4,30.366
RUN-000007,0,0,28.856
RUN-000007,0,1,33.516
RUN-000007,0,2,39.208
RUN-000007,0,3,71.019
RUN-000007,0,4,49.75
RUN-000007,1,0,30.164
RUN-000007,1,1,40.516
RUN-000007,1,2,37.974
RUN-000007,1,3,38.773
RUN-000007,1,4,18.444
RUN-000007,2,0,34.369
RUN-000007,2,1,28.53
RUN-000007,2,2,43.734
RUN-000007,2,3,38.809
RUN-000007,2,4,45.634
RUN-000007,3,0,44.771
RUN-000007,3,1,44.288
RUN-000007,3,2,19.715
RUN-000007,3,3,47.436
RUN-000007,3,4,65.719
RUN-000007,4,0,36.78
RUN-000007,4,1,51.314
RUN-000007,4,2,45.368
RUN-000007,4,3,56.453
RUN-000007,4,4,46.224
RUN-000008,0,0,45.824
RUN-000008,0,1,41.861
RUN-000008,0,2,36.399
RUN-000008,0,3,43.515
RUN-000008,0,4,32.292
RUN-000008,1,0,45.613
RUN-000008,1,1,25.058
RUN-000008,1,2,25.906
RUN-000008,1,3,39.435
RUN-000008,1,4,34.618
RUN-000008,2,0,30.18
RUN-000008,2,1,38.853
RUN-000008,2,2,46.073
RUN-000008,2,3,45.164
RUN-000008,2,4,40.188
RUN-000008,3,0,49.903
RUN-000008,3,1,41.944
RUN-000008,3,2,41.66
RUN-000008,3,3,36.085
RUN-000008,3,4,41.48
RUN-000008,4,0,51.668
RUN-000008,4,1,28.554
RUN-000008,4,2,23.542
RUN-000008,4,3,31.985
RUN-000008,4,4,38.093
RUN-000009,0,0,35.93
RUN-000009,0,1,54.425
