run_id,wafer_id,thickness_mean_nm,wiwnu_pct,thickness_range_nm,dishing_nm,erosion_pct,particle_count_ge_50nm,scratch_count,electrical_res_ohm,leakage_na,yield_flag
RUN-000000,W-RUN-000000,805.95,3.166,19.87,9.22,2.713,38,2,0.015417,5.087,1
RUN-000001,W-RUN-000001,289.12,3.17,16.19,1.09,1.519,59,3,0.014121,2.966,1
RUN-000002,W-RUN-000002,309.42,3.147,21.85,12.79,2.681,73,1,0.015986,6.98,1
RUN-000003,W-RUN-000003,299.39,3.235,19.13,3.56,1.437,43,0,0.014908,6.911,1
RUN-000004,W-RUN-000004,814.81,3.206,23.78,18.0,3.542,60,3,0.016451,4.097,1
RUN-000005,W-RUN-000005,819.13,3.224,18.45,20.37,3.164,62,3,0.016954,5.421,1
RUN-000006,W-RUN-000006,318.04,3.286,17.93,11.13,3.446,68,3,0.016826,6.734,1
RUN-000007,W-RUN-000007,812.24,3.32,24.22,11.5,3.252,46,4,0.016206,5.119,1
RUN-000008,W-RUN-000008,802.77,3.171,21.28,7.17,1.819,41,4,0.015242,4.499,1
RUN-000009,W-RUN-000009,806.76,3.199,23.75,10.34,3.369,48,0,0.01569,4.579,1
RUN-000010,W-RUN-000010,305.86,3.229,15.86,6.32,0.958,47,2,0.015821,5.702,1
RUN-000011,W-RUN-000011,297.38,3.299,21.8,6.34,0.788,31,3,0.014839,5.479,1
RUN-000012,W-RUN-000012,817.14,3.277,26.6,10.51,2.907,46,1,0.016781,5.616,1
RUN-000013,W-RUN-000013,799.69,3.198,16.22,16.55,3.692,46,1,0.015184,7.291,1
RUN-000014,W-RUN-000014,323.78,3.216,21.32,5.66,2.913,63,3,0.017319,5.295,1
RUN-000015,W-RUN-000015,312.71,3.314,23.84,21.78,3.185,63,1,0.016078,7.758,1
RUN-000016,W-RUN-000016,306.68,3.205,18.46,10.6,3.152,49,0,0.015531,5.506,1
RUN-000017,W-RUN-000017,809.83,3.266,25.29,20.38,3.641,57,3,0.016016,5.279,1
RUN-000018,W-RUN-000018,285.36,3.269,14.87,10.75,1.903,35,1,0.013625,7.009,1
RUN-000019,W-RUN-000019,811.49,3.177,17.54,22.75,2.908,46,0,0.016179,5.287,1
RUN-000020,W-RUN-000020,299.07,3.238,21.58,7.68,1.079,62,0,0.015,7.056,1
RUN-000021,W-RUN-000021,301.84,3.216,15.67,10.89,2.537,56,1,0.015086,4.689,1
RUN-000022,W-RUN-000022,314.13,3.21,18.0,5.79,1.196,66,1,0.016278,7.35,1
RUN-000023,W-RUN-000023,324.04,3.213,22.06,22.84,2.86,65,1,0.017367,3.658,1
RUN-000024,W-RUN-000024,319.4,3.225,21.21,9.21,1.945,43,0,0.016987,3.072,1
RUN-000025,W-RUN-000025,308.15,3.188,15.88,8.41,2.382,63,3,0.015917,4.9,1
RUN-000026,W-RUN-000026,819.0,3.184,17.68,16.95,3.093,43,2,0.016998,6.018,1
