run_id,brush_speed_rpm,contact_force_n,chem_type,chem_conc_pct,megasonic_w,megasonic_khz,di_temp_c,rinse_s,dry_type
RUN-000000,240,5,alkaline,1.089,150,1000,22.35,30,Marangoni
RUN-000001,240,7,acidic,0.599,150,800,22.351,20,Marangoni
RUN-000002,200,7,acidic,0.624,150,800,22.332,20,Marangoni
RUN-000003,240,5,acidic,0.6,250,800,22.036,20,Marangoni
RUN-000004,200,9,alkaline,0.924,250,800,21.99,30,Marangoni
RUN-000005,200,9,alkaline,0.97,0,0,22.402,20,SR
RUN-000006,200,5,acidic,0.452,0,0,22.647,20,Marangoni
RUN-000007,200,7,alkaline,0.832,150,1000,22.513,30,Marangoni
RUN-000008,240,7,alkaline,1.255,150,1000,21.921,30,Marangoni
RUN-000009,240,7,alkaline,0.965,150,800,22.022,30,Marangoni
RUN-000010,220,9,acidic,0.45,150,800,22.276,30,SR
RUN-000011,200,5,acidic,0.501,150,1000,21.916,20,SR
RUN-000012,200,5,alkaline,1.046,250,800,22.349,40,SR
RUN-000013,220,7,alkaline,1.202,150,1000,22.433,20,Marangoni
RUN-000014,200,5,acidic,0.448,0,0,22.254,30,Marangoni
RUN-000015,240,9,acidic,0.313,150,800,22.09,20,SR
RUN-000016,200,9,acidic,0.488,150,800,22.159,40,Marangoni
RUN-000017,220,7,alkaline,1.082,0,0,22.325,40,SR
RUN-000018,200,5,acidic,0.485,250,800,21.946,30,SR
RUN-000019,200,7,alkaline,0.985,250,800,21.893,40,SR
RUN-000020,200,7,acidic,0.496,0,0,22.072,20,Marangoni
RUN-000021,200,7,acidic,0.559,250,800,21.797,30,SR
RUN-000022,220,5,acidic,0.413,0,0,21.202,20,Marangoni
RUN-000023,200,7,acidic,0.399,250,800,22.076,30,SR
RUN-000024,240,9,acidic,0.677,150,800,22.269,40,SR
RUN-000025,240,5,acidic,0.327,0,0,21.929,30,Marangoni
RUN-000026,220,9,alkaline,0.836,150,1000,21.821,30,Marangoni
RUN-000027,240,7,alkaline,1.243,150,1000,21.943,40,Marangoni
RUN-000028,220,9,acidic,0.632,150,1000,21.948,40,Marangoni
RUN-000029,200,7,alkaline,1.111,150,800,22.461,40,SR
RUN-000030,240,5,alkaline,1.044,0,0,22.642,40,SR
RUN-000031,220,9,alkaline,1.084,250,800,21.856,30,Marangoni
RUN-000032,220,7,acidic,0.61,250,800,21.771,30,Marangoni
RUN-000033,200,7,alkaline,1.054,0,0,21.837,30,Marangoni
RUN-000034,240,5,acidic,0.53,250,1000,21.375,20,SR
RUN-000035,240,9,acidic,0.427,150,1000,21.417,30,Marangoni
RUN-000036,240,9,acidic,0.344,250,800,21.529,40,Marangoni
RUN-000037,220,9,acidic,0.519,250,800,21.84,30,SR
RUN-000038,220,7,acidic,0.524,250,1000,21.652,40,Marangoni
RUN-000039,220,5,acidic,0.695,150,1000,21.589,30,SR
RUN-000040,240,9,acidic,0.583,0,0,21.6,20,Marangoni
RUN-000041,240,7,alkaline,0.777,250,1000,21.916,40,Marangoni
RUN-000042,200,5,acidic,0.506,250,1000,21.977,30,Marangoni
RUN-000043,220,7,acidic,0.57,0,0,21.104,30,Marangoni
RUN-000044,240,5,alkaline,0.992,0,0,21.208,30,SR
RUN-000045,200,5,acidic,0.548,0,0,21.572,30,SR
RUN-000046,240,5,acidic,0.406,0,0,21.935,30,Marangoni
RUN-000047,200,9,acidic,0.388,150,1000,21.565,40,SR
RUN-000048,240,7,acidic,0.412,250,1000,21.833,40,SR
RUN-000049,240,5,alkaline,0.874,0,0,21.764,20,Marangoni
RUN-000050,200,9,acidic,0.533,150,1000,21.887,20,Marangoni
RUN-000051,240,9,alkaline,1.095,150,1000,22.188,30,SR
RUN-000052,240,7,alkaline,1.024,150,800,21.724,20,SR
RUN-000053,200,7,acidic,0.562,0,0,21.455,40,SR
RUN-000054,200,7,acidic,0.508,250,1000,21.785,30,Marangoni
RUN-000055,240,5,alkaline,1.024,250,1000,22.07,30,Marangoni
RUN-000056,240,5,acidic,0.612,250,800,21.24,30,SR
RUN-000057,220,7,alkaline,0.99,250,800,20.724,30,SR
RUN-000058,220,7,acidic,0.594,250,1000,22.253,20,Marangoni
RUN-000059,220,5,acidic,0.399,0,0,21.6,30,SR
RUN-000060,220,5,alkaline,0.981,150,1000,22.032,30,Marangoni
RUN-000061,220,9,acidic,0.496,150,1000,22.435,40,Marangoni
RUN-000062,200,9,acidic,0.605,0,0,22.065,40,SR
RUN-000063,220,7,alkaline,1.045,0,0,22.264,30,Marangoni
RUN-000064,220,9,acidic,0.539,250,800,22.301,40,SR
RUN-000065,200,9,alkaline,0.993,150,1000,22.303,40,SR
RUN-000066,200,7,acidic,0.475,250,1000,22.812,40,Marangoni
RUN-000067,200,7,acidic,0.275,0,0,22.113,40,Marangoni
