run_id,split_hint,fab_id,tool_id,recipe_id,product_id,layer_id,process_type,wafer_id,lot_id,slurry_lot,run_start_ts,run_end_ts,pad_type,conditioner_type,slurry_type,slurry_pH,particle_size_nm,oxidizer_pct,pad_age_wafers,disk_age_wafers,pre_thickness_nm,target_post_thk_nm,endpoint_time_s,actual_polish_time_s,overpolish_s,endpoint_class,target_mrr_nmps,mrr_pred_nmps,mrr_err_abs,mrr_err_pct,mrr_err_ewma,drift_flag_mrr,auto_retrain,model_ref_pad_factor,model_ref_lot_pH,last_retrain_ts,scaler_group_key,channel_stats_version
RUN-000000,train,H-FAB,CMP-01,RCP-C,P126,STI,STI_Oxide,W-RUN-000000,LOT-0701,LOT-S4330,2025-07-01T08:00:00,2025-07-01T08:01:07,IC1000,3M-Std,Oxide-alkaline,10.227,63.4,0.233,62,69,1068.6,800,60,67,7,over,6.7211,3.0,3.7211,55.365,55.365,1,1,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000001,train,H-FAB,CMP-01,RCP-B,P102,M1,Cu,W-RUN-000001,LOT-0701,LOT-S4330,2025-07-01T08:08:07,2025-07-01T08:09:04,IC1000,3M-Std,Cu-acidic,3.638,93.3,2.079,63,70,989.0,300,60,57,-3,normal,15.3295,3.0,12.3295,80.43,60.378,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000002,train,H-FAB,CMP-01,RCP-A,P140,M1,Cu,W-RUN-000002,LOT-0701,LOT-S4330,2025-07-01T08:20:04,2025-07-01T08:21:13,IC1000,3M-Std,Cu-acidic,3.409,125.5,2.179,64,71,900.1,300,60,69,9,over,15.8023,3.0,12.8023,81.015,64.505,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000003,train,H-FAB,CMP-01,RCP-C,P125,M1,Cu,W-RUN-000003,LOT-0701,LOT-S4330,2025-07-01T08:31:13,2025-07-01T08:32:18,IC1000,3M-Std,Cu-acidic,2.918,125.2,1.556,65,72,986.7,300,68,65,-3,normal,10.0908,3.0,7.0908,70.27,65.658,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000004,train,H-FAB,CMP-01,RCP-C,P125,STI,STI_Oxide,W-RUN-000004,LOT-0701,LOT-S4330,2025-07-01T08:40:18,2025-07-01T08:41:33,IC1000,3M-Std,Oxide-alkaline,10.238,84.6,0.143,66,73,1083.2,800,60,75,15,over,5.0525,5.0408,0.0117,0.231,52.573,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000005,train,H-FAB,CMP-01,RCP-A,P132,STI,STI_Oxide,W-RUN-000005,LOT-0701,LOT-S4330,2025-07-01T08:50:33,2025-07-01T08:52:11,IC1000,3M-Std,Oxide-alkaline,10.454,72.5,0.187,67,74,1068.6,800,83,98,15,over,3.2328,3.0245,0.2083,6.444,43.347,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000006,train,H-FAB,CMP-01,RCP-C,P128,M1,Cu,W-RUN-000006,LOT-0701,LOT-S4330,2025-07-01T09:03:11,2025-07-01T09:04:53,IC1000,3M-Std,Cu-acidic,3.517,118.1,1.953,68,75,950.3,300,92,102,10,over,7.0016,3.0,4.0016,57.153,46.108,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000007,train,H-FAB,CMP-01,RCP-A,P115,STI,STI_Oxide,W-RUN-000007,LOT-0701,LOT-S4330,2025-07-01T09:15:53,2025-07-01T09:17:05,IC1000,3M-Std,Oxide-alkaline,10.41,63.1,0.173,69,76,1087.2,800,60,72,12,over,5.3158,5.0408,0.2749,5.172,37.921,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000008,train,H-FAB,CMP-01,RCP-C,P107,STI,STI_Oxide,W-RUN-000008,LOT-0701,LOT-S4330,2025-07-01T09:29:05,2025-07-01T09:30:02,IC1000,3M-Std,Oxide-alkaline,11.054,73.4,0.131,70,77,1071.1,800,60,57,-3,normal,5.0542,4.0327,1.0216,20.212,34.379,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000009,train,H-FAB,CMP-01,RCP-C,P119,STI,STI_Oxide,W-RUN-000009,LOT-0701,LOT-S4330,2025-07-01T09:40:02,2025-07-01T09:41:26,IC1000,3M-Std,Oxide-alkaline,10.712,61.5,0.2,71,78,1066.8,800,76,84,8,over,3.4705,3.0245,0.446,12.852,30.074,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000010,train,H-FAB,CMP-01,RCP-B,P114,M1,Cu,W-RUN-000010,LOT-0701,LOT-S4330,2025-07-01T09:49:26,2025-07-01T09:50:31,IC1000,3M-Std,Cu-acidic,3.558,118.1,1.93,72,79,978.3,300,60,65,5,normal,19.3189,3.0,16.3189,84.471,40.953,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000011,train,H-FAB,CMP-01,RCP-B,P146,M1,Cu,W-RUN-000011,LOT-0701,LOT-S4330,2025-07-01T10:01:31,2025-07-01T10:02:29,IC1000,3M-Std,Cu-acidic,3.347,115.2,2.191,73,80,966.8,300,60,58,-2,normal,11.9176,3.0,8.9176,74.827,47.728,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000012,train,H-FAB,CMP-01,RCP-A,P137,STI,STI_Oxide,W-RUN-000012,LOT-0701,LOT-S4330,2025-07-01T10:08:29,2025-07-01T10:09:34,IC1000,3M-Std,Oxide-alkaline,10.483,65.1,0.232,74,81,1037.6,800,60,65,5,normal,5.784,5.3769,0.4071,7.039,39.59,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000013,train,H-FAB,CMP-01,RCP-B,P142,STI,STI_Oxide,W-RUN-000013,LOT-0701,LOT-S4330,2025-07-01T10:19:34,2025-07-01T10:20:49,IC1000,3M-Std,Oxide-alkaline,10.147,69.0,0.2,75,82,1023.5,800,60,75,15,over,6.5295,6.7211,0.1917,2.935,32.259,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000014,train,H-FAB,CMP-01,RCP-C,P140,M1,Cu,W-RUN-000014,LOT-0701,LOT-S4330,2025-07-01T10:29:49,2025-07-01T10:31:05,IC1000,3M-Std,Cu-acidic,3.378,112.2,2.002,76,83,951.5,300,68,76,8,over,9.4868,3.0,6.4868,68.377,39.483,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000015,train,H-FAB,CMP-01,RCP-A,P127,M1,Cu,W-RUN-000015,LOT-0701,LOT-S4330,2025-07-01T10:41:05,2025-07-01T10:42:21,IC1000,3M-Std,Cu-acidic,3.201,116.9,2.15,77,84,935.7,300,60,76,16,over,12.1302,3.0,9.1302,75.268,46.64,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000016,train,H-FAB,CMP-01,RCP-C,P136,M1,Cu,W-RUN-000016,LOT-0701,LOT-S4330,2025-07-01T10:51:21,2025-07-01T10:52:28,IC1000,3M-Std,Cu-acidic,3.11,106.2,2.266,78,85,925.4,300,60,67,7,over,20.0,3.0,17.0,85.0,54.312,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000017,train,H-FAB,CMP-01,RCP-A,P128,STI,STI_Oxide,W-RUN-000017,LOT-0701,LOT-S4330,2025-07-01T11:02:28,2025-07-01T11:03:47,IC1000,3M-Std,Oxide-alkaline,10.727,72.6,0.096,79,86,1089.8,800,62,79,17,over,4.6346,4.0327,0.602,12.988,46.047,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000018,train,H-FAB,CMP-01,RCP-C,P124,M1,Cu,W-RUN-000018,LOT-0701,LOT-S4330,2025-07-01T11:15:47,2025-07-01T11:16:52,IC1000,3M-Std,Cu-acidic,3.688,109.3,1.936,80,87,979.4,300,60,65,5,normal,15.1514,3.0,12.1514,80.2,52.878,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000019,train,H-FAB,CMP-01,RCP-A,P128,STI,STI_Oxide,W-RUN-000019,LOT-0701,LOT-S4330,2025-07-01T11:24:52,2025-07-01T11:26:08,IC1000,3M-Std,Oxide-alkaline,10.364,74.9,0.112,81,88,1041.2,800,60,76,16,over,5.2257,5.0408,0.1849,3.538,43.01,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|STI,v1
RUN-000020,train,H-FAB,CMP-01,RCP-C,P148,M1,Cu,W-RUN-000020,LOT-0701,LOT-S4330,2025-07-01T11:36:08,2025-07-01T11:37:02,IC1000,3M-Std,Cu-acidic,3.434,116.3,1.824,82,89,939.3,300,60,54,-6,under,15.6675,3.0,12.6675,80.852,50.578,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000021,train,H-FAB,CMP-01,RCP-B,P115,M1,Cu,W-RUN-000021,LOT-0701,LOT-S4330,2025-07-01T11:45:02,2025-07-01T11:46:12,IC1000,3M-Std,Cu-acidic,3.725,109.1,1.84,83,90,934.3,300,60,70,10,over,11.296,3.0,8.296,73.442,55.151,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000022,train,H-FAB,CMP-01,RCP-A,P138,M1,Cu,W-RUN-000022,LOT-0701,LOT-S4330,2025-07-01T11:57:12,2025-07-01T11:58:32,IC1000,3M-Std,Cu-acidic,3.289,116.9,1.924,84,91,920.2,300,86,80,-6,under,7.181,3.0,4.181,58.223,55.765,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000023,train,H-FAB,CMP-01,RCP-B,P124,M1,Cu,W-RUN-000023,LOT-0701,LOT-S4330,2025-07-01T12:11:32,2025-07-01T12:12:51,IC1000,3M-Std,Cu-acidic,3.576,111.4,1.751,85,92,966.0,300,60,79,19,over,11.5207,3.0,8.5207,73.96,59.404,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000024,train,H-FAB,CMP-01,RCP-B,P130,M1,Cu,W-RUN-000024,LOT-0701,LOT-S4330,2025-07-01T12:18:51,2025-07-01T12:20:04,IC1000,3M-Std,Cu-acidic,3.555,123.2,1.828,86,93,923.1,300,67,73,6,over,9.2398,3.0,6.2398,67.532,61.03,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
RUN-000025,train,H-FAB,CMP-01,RCP-C,P106,M1,Cu,W-RUN-000025,LOT-0701,LOT-S4330,2025-07-01T12:29:04,2025-07-01T12:30:09,IC1000,3M-Std,Cu-acidic,3.617,112.4,1.852,87,94,952.3,300,60,65,5,normal,15.2668,3.0,12.2668,80.349,64.894,1,0,1.0414,10.227,2025-07-01T08:00:00,CMP-01|M1,v1
