run_id,cond_force_n,cond_rpm,cond_sweep_mms,cond_time_s
RUN-000000,30,80,10,30
RUN-000001,50,80,20,60
RUN-000002,30,60,10,30
RUN-000003,40,60,20,30
RUN-000004,50,60,20,30
RUN-000005,30,80,15,30
RUN-000006,30,80,10,30
RUN-000007,30,60,20,30
RUN-000008,40,60,10,60
RUN-000009,40,60,10,30
RUN-000010,30,80,20,60
RUN-000011,50,80,20,45
RUN-000012,40,60,10,60
RUN-000013,40,80,10,60
RUN-000014,30,80,20,60
RUN-000015,30,60,20,30
RUN-000016,50,80,10,30
RUN-000017,30,60,15,45
RUN-000018,40,80,10,30
RUN-000019,40,60,10,45
RUN-000020,50,80,20,30
RUN-000021,50,60,15,30
RUN-000022,50,80,20,45
RUN-000023,40,80,20,60
RUN-000024,50,80,10,60
RUN-000025,50,80,20,45
RUN-000026,30,60,10,60
RUN-000027,40,60,20,30
RUN-000028,50,60,20,60
RUN-000029,50,80,20,30
RUN-000030,50,60,10,30
RUN-000031,30,80,20,45
RUN-000032,30,80,20,30
RUN-000033,30,80,10,45
RUN-000034,40,80,20,45
RUN-000035,50,80,15,45
RUN-000036,50,80,10,45
RUN-000037,30,80,10,45
RUN-000038,40,80,20,60
RUN-000039,50,60,10,30
RUN-000040,30,60,10,30
RUN-000041,30,80,10,30
RUN-000042,40,80,15,30
RUN-000043,40,80,10,45
RUN-000044,30,80,15,30
RUN-000045,30,80,20,60
RUN-000046,30,60,20,45
RUN-000047,50,80,20,45
RUN-000048,40,80,15,45
RUN-000049,30,60,10,60
RUN-000050,50,80,10,45
RUN-000051,40,80,15,45
RUN-000052,30,80,15,30
RUN-000053,30,60,15,30
RUN-000054,40,80,15,30
RUN-000055,30,60,20,60
RUN-000056,50,80,10,60
RUN-000057,40,60,15,30
RUN-000058,30,80,15,45
RUN-000059,30,80,15,60
RUN-000060,50,80,10,30
RUN-000061,30,80,10,45
RUN-000062,50,60,15,45
RUN-000063,50,60,10,60
RUN-000064,50,60,20,60
RUN-000065,50,80,15,45
RUN-000066,30,60,15,45
RUN-000067,50,80,10,45
RUN-000068,40,60,10,45
RUN-000069,50,80,15,60
RUN-000070,30,60,10,45
RUN-000071,30,60,10,60
RUN-000072,30,60,20,60
RUN-000073,50,60,10,45
RUN-000074,30,60,10,60
RUN-000075,50,80,20,60
RUN-000076,30,60,15,45
RUN-000077,30,60,10,60
RUN-000078,30,60,20,45
RUN-000079,40,60,20,30
RUN-000080,30,60,20,60
RUN-000081,50,80,10,45
RUN-000082,30,60,10,60
RUN-000083,40,60,20,30
RUN-000084,40,60,20,45
RUN-000085,30,60,15,45
RUN-000086,30,80,15,60
RUN-000087,30,80,20,30
RUN-000088,40,80,10,30
RUN-000089,50,60,10,30
RUN-000090,30,60,10,60
RUN-000091,30,60,15,45
RUN-000092,50,60,20,30
RUN-000093,50,60,20,45
RUN-000094,40,80,15,30
RUN-000095,40,80,10,60
RUN-000096,40,80,15,60
RUN-000097,30,60,10,30
RUN-000098,30,60,10,30
RUN-000099,40,60,15,45
RUN-000100,40,80,10,60
RUN-000101,50,60,15,60
RUN-000102,40,60,10,60
RUN-000103,30,60,20,30
RUN-000104,30,60,20,45
RUN-000105,30,60,15,60
RUN-000106,30,60,20,60
RUN-000107,50,80,10,60
RUN-000108,40,80,15,45
RUN-000109,40,80,15,60
RUN-000110,40,60,10,60
RUN-000111,50,60,10,45
RUN-000112,50,80,15,60
RUN-000113,50,60,10,60
RUN-000114,30,60,10,60
RUN-000115,30,60,20,45
RUN-000116,30,80,10,60
RUN-000117,50,60,15,30
